TIME,S1,S2,S1_NORM,S2_NORM,THR1,THR2
48108,3455,3815,,,,
,,,,,,
48208,3467,3815,,,,
,,,,,,
48308,3451,3811,,,,
,,,,,,
48408,3452,3811,,,,
,,,,,,
48508,3453,3814,,,,
,,,,,,
48608,3454,3817,,,,
,,,,,,
48708,3451,3813,,,,
,,,,,,
48808,3453,3813,,,,
,,,,,,
48908,3451,3814,,,,
,,,,,,
49008,3453,3813,,,,
,,,,,,
49108,3453,3821,,,,
,,,,,,
49208,3452,3815,,,,
,,,,,,
49308,3452,3815,,,,
,,,,,,
49408,3451,3800,,,,
,,,,,,
49508,3451,3813,,,,
,,,,,,
49608,3451,3815,,,,
,,,,,,
49708,3437,3814,,,,
,,,,,,
49808,3453,3814,,,,
,,,,,,
49908,3451,3815,,,,
,,,,,,
50008,3449,3815,,,,
,,,,,,
50108,3451,3812,,,,
,,,,,,
50208,3465,3813,,,,
,,,,,,
50308,3451,3815,,,,
,,,,,,
50408,3452,3803,,,,
,,,,,,
50508,3452,3813,,,,
,,,,,,
50608,3495,3811,,,,
,,,,,,
50708,3437,3817,,,,
,,,,,,
50808,3447,3813,,,,
,,,,,,
50908,3452,3817,,,,
,,,,,,
51008,3454,3814,,,,
,,,,,,
51108,3451,3812,,,,
,,,,,,
51208,3453,3815,,,,
,,,,,,
51308,3453,3814,,,,
,,,,,,
51408,3451,3815,,,,
,,,,,,
51508,3453,3815,,,,
,,,,,,
51608,3452,3815,,,,
,,,,,,
51708,3451,3720,,,,
,,,,,,
51808,3462,3815,,,,
,,,,,,
51908,3448,3813,,,,
,,,,,,
52008,3407,3815,,,,
,,,,,,
52108,3449,3815,,,,
,,,,,,
52208,3453,3813,,,,
,,,,,,
52308,3451,3816,,,,
,,,,,,
52408,3452,3814,,,,
,,,,,,
52508,3454,3812,,,,
,,,,,,
52608,3451,3813,,,,
,,,,,,
52708,3469,3821,,,,
,,,,,,
52808,3528,3863,,,,
,,,,,,
52908,3551,3879,,,,
,,,,,,
53008,3543,3865,,,,
,,,,,,
53108,3189,3129,,,,
,,,,,,
53208,181,185,,,,
,,,,,,
53308,145,159,,,,
,,,,,,
53408,148,271,,,,
,,,,,,
53508,156,187,,,,
,,,,,,
53608,155,187,,,,
,,,,,,
53708,156,219,,,,
,,,,,,
53808,155,180,,,,
,,,,,,
53908,157,181,,,,
,,,,,,
54008,155,181,,,,
,,,,,,
54108,154,173,,,,
,,,,,,
54208,160,173,,,,
,,,,,,
54308,153,171,,,,
,,,,,,
54408,149,166,,,,
,,,,,,
54508,133,169,,,,
,,,,,,
54608,168,153,,,,
,,,,,,
54708,137,146,,,,
,,,,,,
54808,138,150,,,,
,,,,,,
54908,137,147,,,,
,,,,,,
55008,139,149,,,,
,,,,,,
55108,139,148,,,,
,,,,,,
55208,2635,2521,,,,
,,,,,,
55308,3559,3886,,,,
,,,,,,
55408,3503,3849,,,,
,,,,,,
55508,3455,3816,,,,
,,,,,,
55608,3449,3814,,,,
,,,,,,
55708,3468,3813,,,,
,,,,,,
55808,3449,3773,,,,
,,,,,,
55908,3469,3811,,,,
,,,,,,
56008,3479,3816,,,,
,,,,,,
56108,3450,3813,,,,
,,,,,,
56208,3451,3816,,,,
,,,,,,
56308,3451,3813,,,,
,,,,,,
56408,3449,3815,,,,
,,,,,,
56508,3449,3812,,,,
,,,,,,
56608,3451,3811,,,,
,,,,,,
56708,3451,3815,,,,
,,,,,,
56808,3451,3813,,,,
,,,,,,
56908,3451,3815,,,,
,,,,,,
57008,3451,3811,,,,
,,,,,,
57108,3493,3811,,,,
,,,,,,
57208,3486,3811,,,,
,,,,,,
57308,3493,3817,,,,
,,,,,,
57408,3451,3687,,,,
,,,,,,
57508,3448,3815,,,,
,,,,,,
57608,3450,3814,,,,
,,,,,,
57708,3451,3813,,,,
,,,,,,
57808,3451,3812,,,,
,,,,,,
57908,3450,3814,,,,
,,,,,,
58008,3449,3812,,,,
,,,,,,
58108,3447,3813,,,,
,,,,,,
58208,3451,3813,,,,
,,,,,,
58308,3467,3731,,,,
,,,,,,
58408,3451,3813,,,,
,,,,,,
58508,3447,3811,,,,
,,,,,,
58608,3451,3560,,,,
,,,,,,
58708,3451,3819,,,,
,,,,,,
58808,3450,3814,,,,
,,,,,,
58908,3449,3812,,,,
,,,,,,
59008,3448,3811,,,,
,,,,,,
59108,3448,3812,,,,
,,,,,,
59208,3448,3812,,,,
,,,,,,
59308,3453,3812,,,,
,,,,,,
59408,3451,3813,,,,
,,,,,,
59508,3421,3813,,,,
,,,,,,
59608,3455,3757,,,,
,,,,,,
59708,3439,3855,,,,
,,,,,,
59808,3397,3811,,,,
,,,,,,
59908,3451,3780,,,,
,,,,,,
60008,3451,3834,,,,
,,,,,,
60108,3451,3812,,,,
,,,,,,
60208,3465,3816,,,,
,,,,,,
60308,3451,3813,,,,
,,,,,,
60408,3451,3814,,,,
,,,,,,
60508,3449,3813,,,,
,,,,,,
60608,3451,3813,,,,
,,,,,,
60708,3451,3815,,,,
,,,,,,
60808,3437,3813,,,,
,,,,,,
